"State","City","Inserted","Updated","Total","Success"
"Maharashtra","Mumbai","0","0","2","True"
"Maharashtra","Pune","0","0","2","True"
"Maharashtra","Nagpur","0","0","2","True"
"Maharashtra","Nashik","0","0","2","True"
"Maharashtra","Aurangabad","0","0","2","True"
"Karnataka","Bangalore","0","0","2","True"
"Karnataka","Mysore","0","0","2","True"
"Karnataka","Mangalore","0","0","2","True"
"Karnataka","Hubli","0","0","2","True"
"Karnataka","Belgaum","0","0","2","True"
"Tamil Nadu","Chennai","0","0","2","True"
"Tamil Nadu","Coimbatore","0","0","2","True"
"Tamil Nadu","Madurai","0","0","2","True"
"Tamil Nadu","Tiruchirappalli","0","0","2","True"
"Tamil Nadu","Salem","0","0","2","True"
"Uttar Pradesh","Lucknow","0","0","2","True"
"Uttar Pradesh","Kanpur","0","0","2","True"
"Uttar Pradesh","Varanasi","0","0","2","True"
"Uttar Pradesh","Agra","0","0","2","True"
"Uttar Pradesh","Allahabad","0","0","2","True"
"West Bengal","Kolkata","0","0","2","True"
"West Bengal","Howrah","0","0","2","True"
"West Bengal","Durgapur","0","0","2","True"
"West Bengal","Asansol","0","0","2","True"
"West Bengal","Siliguri","0","0","2","True"
